,y,x
149517627,29.211421,-98.638954
149517795,29.3826655,-98.6427969
149517797,29.3845174,-98.6441142
149517801,29.3771932,-98.6399041
149517803,29.378294,-98.640743
149517822,29.3914888,-98.665016
149517844,29.390036,-98.6820125
149518079,29.397328,-98.4958583
149518096,29.396065,-98.5019218
149518110,29.395719,-98.498757
149518112,29.3957309,-98.4979714
149518625,29.3204217,-98.5391891
149518627,29.3201949,-98.5361788
149518839,29.399469,-98.53189
149518933,29.233979,-98.489751
149518960,29.2910466,-98.4727659
149518962,29.2910498,-98.472517
149519010,29.287315,-98.472735
149519011,29.287315,-98.4724847
149519013,29.2835896,-98.4727064
149519015,29.2835957,-98.4724583
149519016,29.2798371,-98.47268
149519017,29.2798391,-98.4724327
149519025,29.276595,-98.472652
149519027,29.2765926,-98.4724053
149519031,29.273033,-98.4726183
149519033,29.273036,-98.4723795
149519037,29.269633,-98.4726015
149519038,29.2696306,-98.472349
149519049,29.2498067,-98.4724983
149519051,29.2497956,-98.4722524
149519074,29.2260903,-98.6531305
149520183,29.225507,-98.583994
149520185,29.225506,-98.583684
149520186,29.223315,-98.584021
149520187,29.223314,-98.583696
149520190,29.2189233,-98.5840402
149520192,29.2189215,-98.5837371
149520193,29.214894,-98.584121
149520195,29.2148606,-98.5837966
149520200,29.2112251,-98.5847794
149520202,29.2111668,-98.5844104
149520208,29.2094321,-98.5850855
149520210,29.2093775,-98.5847236
149520213,29.202775,-98.585217
149520215,29.202773,-98.584838
149520231,29.412361,-98.589404
149520248,29.416097,-98.58906
149520426,29.3645879,-98.6342114
149520428,29.3623667,-98.6330403
149520466,29.3340967,-98.4687568
149521274,29.364378,-98.6343554
149521276,29.3619527,-98.6337192
149521415,29.3271921,-98.7233192
149521417,29.3288462,-98.7233585
149521445,29.3744934,-98.6384704
149521447,29.3728749,-98.6380839
149521451,29.3747944,-98.6383935
149521452,29.3729864,-98.6372615
149521455,29.3961833,-98.5172434
149521484,29.3934072,-98.5117397
149521488,29.3918941,-98.5117823
149521643,29.3953575,-98.4983824
149521645,29.395142,-98.498387
149521954,29.385505,-98.511922
149521966,29.411815,-98.627273
149521968,29.411826,-98.628256
149521974,29.411797,-98.628651
149521983,29.411521,-98.6291785
149521989,29.4112139,-98.5074113
149522167,29.321975,-98.4514063
149522232,29.251799,-98.627528
149522235,29.250596,-98.625764
149522249,29.222341,-98.617587
149522259,29.220674,-98.617142
149522302,29.315751,-98.5969793
149522303,29.315916,-98.595056
149522409,29.26924,-98.691748
149522413,29.268866,-98.691946
149522419,29.2677847,-98.6942118
149522446,29.3960947,-98.6528093
149522462,29.394926,-98.6493787
149522469,29.2455141,-98.4731972
149522472,29.2454813,-98.4729585
149522476,29.2379938,-98.4745074
149522478,29.2379625,-98.4742662
149522482,29.225501,-98.47667
149522484,29.225462,-98.476427
149522488,29.208772,-98.478871
149522490,29.208758,-98.478612
149522493,29.204139,-98.479244
149522494,29.204126,-98.478991
149522498,29.199037,-98.479645
149522500,29.199023,-98.47938
149522506,29.195642,-98.479921
149522508,29.195627,-98.479659
149522986,29.294033,-98.4761189
149523162,29.244854,-98.723757
149523164,29.243153,-98.723855
149523165,29.242595,-98.723887
149523169,29.399385,-98.532205
149523206,29.242752,-98.722858
149523208,29.3916336,-98.4820256
149523214,29.390775,-98.480421
149523374,29.346855,-98.487615
149523599,29.277598,-98.669205
149523621,29.4227,-98.593404
149523676,29.3869978,-98.4729473
149523740,29.3872503,-98.4728184
149523848,29.385222,-98.471474
149523965,29.4046765,-98.6197468
149523972,29.4050247,-98.6200199
149523994,29.394167,-98.5108096
149524019,29.3960816,-98.5046995
149524413,29.2944835,-98.4727904
149524415,29.294485,-98.4725426
149524416,29.297974,-98.472812
149524417,29.297973,-98.472561
149524595,29.21584,-98.49342
149524762,29.3589164,-98.6324104
149524764,29.35711,-98.6314413
149524768,29.3400888,-98.6249529
149524770,29.3424475,-98.6255858
149525193,29.2514334,-98.744076
149525197,29.250299,-98.743644
149525208,29.2576448,-98.7226114
149525209,29.2565345,-98.7221243
149525218,29.259316,-98.71677
149525221,29.258222,-98.716328
149525236,29.267289,-98.693427
149525253,29.269067,-98.692158
149525384,29.4141725,-98.5046254
149525493,29.2921422,-98.6394993
149525502,29.2910472,-98.641289
